Wall time,Step,Value
1715688522.7192829,7936,-0.3078939616680145
1715688526.7386677,7949,-0.3071606159210205
1715688530.7585056,7963,-0.30970391631126404
1715688534.7906427,7979,-0.31721580028533936
1715688538.8108668,7993,-0.31932616233825684
1715688542.8309653,8010,-0.3225893974304199
1715688546.8514853,8023,-0.3202318251132965
1715688550.8717089,8036,-0.3025091886520386
1715688554.892166,8051,-0.301140159368515
1715688558.9130995,8068,-0.30325809121131897
1715688562.9342406,8086,-0.3134536147117615
1715688566.9548252,8102,-0.3064142167568207
1715688570.9747992,8111,-0.2991446554660797
1715688574.9971666,8127,-0.3031047582626343
1715688579.0182626,8139,-0.3046565055847168
1715688583.0374439,8155,-0.3090963065624237
1715688587.0576732,8173,-0.31559890508651733
1715688588.9158342,8188,-0.3187866508960724
1715688589.3585243,8201,-0.3063806891441345
1715688590.0757716,8221,-0.30554312467575073
1715688590.6433349,8234,-0.30224305391311646
1715688593.980618,8251,-0.30397191643714905
1715688598.004529,8268,-0.30280447006225586
1715688602.038885,8283,-0.3069925904273987
1715688606.0613961,8297,-0.31215155124664307
1715688610.0848348,8315,-0.3145621418952942
1715688614.1079972,8332,-0.32064568996429443
1715688616.2378926,8353,-0.33246931433677673
1715688616.7372322,8367,-0.32873615622520447
1715688617.2381332,8381,-0.32859453558921814
1715688617.88516,8398,-0.32701221108436584
1715688618.5181682,8415,-0.33131149411201477
1715688618.9268513,8425,-0.32944101095199585
1715688619.6907685,8443,-0.33583372831344604
1715688620.2783725,8457,-0.3324493169784546
1715688620.9965413,8474,-0.3312128186225891
1715688621.693431,8491,-0.3299274146556854
1715688622.2451947,8503,-0.3333921432495117
1715688622.9279327,8520,-0.33423981070518494
1715688623.7424016,8539,-0.3412199020385742
1715688624.4886909,8557,-0.3428482413291931
1715688625.2613373,8576,-0.3432955741882324
1715688625.8913462,8592,-0.3440881669521332
1715688626.5633812,8607,-0.34735387563705444
1715688627.0141556,8617,-0.33669111132621765
1715688627.5618722,8630,-0.33776429295539856
1715688628.2270358,8645,-0.3362322449684143
1715688628.8252847,8659,-0.3325383961200714
1715688629.3285763,8671,-0.3299177289009094
1715688629.9134953,8686,-0.3309405744075775
1715688630.5121844,8701,-0.3263932764530182
1715688631.0915074,8715,-0.32244086265563965
1715688631.7558782,8731,-0.3154027462005615
1715688632.6132605,8748,-0.32179057598114014
1715688633.5126657,8770,-0.3289184868335724
1715688634.2767859,8789,-0.3317573070526123
1715688634.9381187,8805,-0.332058846950531
1715688635.5902162,8820,-0.3384416401386261
1715688636.2818506,8835,-0.3322596848011017
1715688636.8966796,8849,-0.3296346068382263
1715688637.5953257,8866,-0.3268112540245056
1715688638.1580286,8880,-0.32528239488601685
1715688638.9051423,8897,-0.32973089814186096
1715688639.6964161,8915,-0.33122116327285767
1715688640.284539,8929,-0.326347291469574
1715688640.8293772,8940,-0.3189604878425598
1715688641.4457645,8955,-0.31497567892074585
1715688642.289603,8976,-0.3204103708267212
1715688642.9324424,8991,-0.32073235511779785
1715688643.5543103,9005,-0.32469046115875244
1715688644.0628135,9017,-0.32302239537239075
1715688644.6448555,9031,-0.3224013149738312
1715688645.3223062,9048,-0.3265163004398346
1715688645.8617356,9061,-0.3262293040752411
1715688646.5285714,9077,-0.32843440771102905
1715688647.1758463,9092,-0.3284781873226166
1715688647.7302377,9104,-0.3243754506111145
1715688648.3302414,9118,-0.3204146921634674
1715688649.0777633,9136,-0.32221153378486633
1715688649.597557,9149,-0.3126644194126129
1715688650.4147613,9169,-0.31702685356140137
1715688650.9773288,9183,-0.31258103251457214
1715688651.7288663,9199,-0.31287434697151184
1715688652.3590481,9214,-0.3120907247066498
1715688653.131036,9233,-0.31711894273757935
1715688653.9072936,9253,-0.3190137445926666
1715688654.5946677,9270,-0.3225242793560028
1715688655.2502337,9284,-0.3190556764602661
1715688655.889146,9299,-0.31385934352874756
1715688656.266982,9307,-0.306368350982666
1715688657.0000424,9324,-0.3162156641483307
1715688657.5836852,9337,-0.3133513331413269
1715688658.3931875,9357,-0.3112306296825409
1715688659.0127711,9372,-0.31307950615882874
1715688659.7312958,9388,-0.3174280524253845
1715688662.1009035,9454,-0.3669171929359436
1715688662.5337515,9464,-0.36214154958724976
1715688663.0791256,9478,-0.3590843081474304
1715688663.6264586,9491,-0.36072713136672974
1715688664.4209487,9510,-0.3646221458911896
1715688665.014009,9523,-0.362798273563385
1715688668.3841507,9540,-0.3700738549232483
1715688672.4061515,9547,-0.36349591612815857
1715688676.4264178,9566,-0.36144980788230896
1715688680.449068,9579,-0.3611070513725281
1715688684.4712956,9593,-0.35153985023498535
1715688688.4903042,9612,-0.36022043228149414
1715688692.5126984,9624,-0.356182724237442
1715688696.5345209,9640,-0.35814717411994934
1715688700.5563023,9657,-0.3587532639503479
1715688704.5787587,9670,-0.3526110351085663
1715688708.59914,9686,-0.3518494963645935
1715688712.5608625,9695,-0.34591782093048096
1715688713.080131,9707,-0.3441014289855957
1715688713.531594,9720,-0.35061943531036377
1715688714.0082374,9733,-0.3438122272491455
1715688714.5633988,9747,-0.3435854911804199
1715688715.1520295,9763,-0.3406709134578705
1715688715.6306922,9775,-0.33472052216529846
1715688716.1791797,9790,-0.3325384259223938
1715688716.614638,9801,-0.2812154293060303
1715688717.0646465,9814,-0.2836783826351166
1715688717.5817895,9829,-0.2845647931098938
1715688718.2161899,9847,-0.29215478897094727
1715688718.93099,9866,-0.2911486029624939
1715688719.5153835,9880,-0.29149606823921204
1715688720.1290224,9894,-0.2888392508029938
1715688720.7704842,9909,-0.29865995049476624
1715688721.3524008,9922,-0.29276058077812195
1715688721.9304805,9936,-0.29567357897758484
1715688722.5300164,9950,-0.29569026827812195
1715688722.9640656,9960,-0.28243839740753174
1715688723.4451106,9972,-0.2819727659225464
1715688724.0657957,9987,-0.2793721556663513
